"STATION","NAME","DATE","AWND","PGTM","PRCP","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT08"
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-04-04","7.61"," 1321","0.00","75","42","  210","  240","23.0","30.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-04-05","10.96"," 1153","0.00","70","47","  200","  210","25.9","35.1",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-04-06","8.50"," 1521","0.00","67","44","  290","  280","21.9","27.1",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-04-07","7.38"," 1722","0.00","79","44","  320","  320","16.1","19.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-04-08","7.83"," 1610","0.00","86","48","  320","  320","21.9","25.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-04-09","14.32"," 1407","0.00","86","49","  260","  270","30.0","36.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-04-10","19.46"," 1739","0.00","66","42","  300","  290","33.1","44.1",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-04-11","14.99"," 1508","0.00","64","39","  300","  310","31.1","36.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-04-12","11.63"," 1039","0.00","59","37","  260","  200","25.9","35.1",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-04-13","9.62"," 1318","0.00","64","35","  300","  320","21.0","27.1",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-04-14","7.61"," 1253","0.00","77","38","  280","  230","18.1","23.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-04-15","8.05"," 1404","0.00","79","46","  240","  240","25.1","31.1",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-04-16","13.87"," 1455","0.00","73","48","  250","  240","29.1","38.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-04-17","13.42"," 1431","0.01","65","44","  310","  310","25.1","34.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-04-18","7.38"," 1114","0.00","79","48","   40","   40","19.9","23.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-04-19","10.29"," 0943","0.00","87","47","  120","  120","23.9","30.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-04-20","15.66"," 1437","0.00","83","54","  250","  230","36.0","47.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-04-21","12.97"," 1423","0.00","80","52","  230","  220","29.1","36.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-04-22","11.41"," 1209","0.00","77","52","  220","  250","25.9","42.1",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-04-23","7.61"," 1636","0.00","73","47","  310","  310","29.1","34.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-04-24","7.16"," 1625","0.00","78","41","  320","  320","19.9","28.0",,,
